"doctor_id","_delta_action","created_by","created_date","email","first_name","hospital_branch","last_name","phone_number","specialization","updated_by","updated_date","years_experience"
"D011","INSERT","","","dr.priya.mehta@hospital.com","Priya","Westside Clinic","Mehta","9876543210","CARDIOLOGY","ETL_USER","2026-02-18 15:16:17","8"
"D010","UPDATE","","","dr.linda.wilson@hospital.com","Linda","Eastside Clinic","Wilson","6176383634","ONCOLOGY","ETL_USER","2026-02-18 15:16:17","22"
"D004","","ETL_USER","2026-02-17 11:27:27","dr.david.jones@hospital.com","David","Central Hospital","Jones","6594221991","PEDIATRICS","","","28"
"D001","","ETL_USER","2026-02-17 11:27:27","dr.david.taylor@hospital.com","David","Westside Clinic","Taylor","8322010158","DERMATOLOGY","","","17"
"D003","UPDATE","","","dr.jane.smith@hospital.com","Jane","Central Hospital","Smith","8737740598","PEDIATRICS","ETL_USER","2026-02-18 15:16:17","20"
"D008","","ETL_USER","2026-02-17 11:27:27","dr.linda.brown@hospital.com","Linda","Westside Clinic","Brown","9069162601","DERMATOLOGY","","","5"
"D005","","ETL_USER","2026-02-17 11:27:27","dr.sarah.taylor@hospital.com","Sarah","Central Hospital","Taylor","9118538547","DERMATOLOGY","","","26"
"D006","","ETL_USER","2026-02-17 11:27:27","dr.alex.davis@hospital.com","Alex","Central Hospital","Davis","6570137231","PEDIATRICS","","","23"
"D002","","ETL_USER","2026-02-17 11:27:27","dr.jane.davis@hospital.com","Jane","Eastside Clinic","Davis","9004382050","PEDIATRICS","","","24"
"D007","UPDATE","","","dr.robert.davis@hospital.com","Robert","Eastside Clinic","Davis","8217493115","ONCOLOGY","ETL_USER","2026-02-18 15:16:17","27"
"D012","INSERT","","","dr.nathan.clark@hospital.com","Nathan","Eastside Clinic","Clark","7654321876","ORTHOPAEDICS","ETL_USER","2026-02-18 15:16:17","12"
"D009","","ETL_USER","2026-02-17 11:27:27","dr.sarah.smith@hospital.com","Sarah","Central Hospital","Smith","7387087517","PEDIATRICS","","","26"
